,drugName,condition,Side_Effect,effectiveness
1541,Nora-Be,"1 Abnormal Uterine Bleeding, Birth Control, Endometriosis","fall, tired, vomiting, constipation, sweat, laziness, overweight, pain, stress, Depression, aura, ache, smoker, crying, nausea, fatigue, Anxiety, weight gain, dizziness, worry, moody, palpitation, frustration, night sweat, headache, birth control, increased appetite",33.24%
1542,Norditropin,"Adult Human Growth Hormone Deficiency, Turner's Syndrome",,75.05%
1543,Norel SR,Nasal Congestion,"headache, dizziness, agitation, ache, drowsiness",65.96%
1544,Norethindrone,"Abnormal Uterine Bleeding, Amenorrhea, Birth Control, Endometriosis, Not Listed / Othe","anger, fall, tired, heartburn, constipation, sweat, hunger, biopsy, surgery, ovarian failure, numbness, choke, Menopause, panic, uterine cancer, excruciating pain, pregnancy test, elation, screaming, pain, thicken, stress, Headache, aura, ache, Migraine, unhappy, smoker, crying, nausea, fatigue, nightmare, weight gain, retch, vertigo, dizziness, swelling, chill, hysterectomy, moody, frustration, night sweat, flare, breast feeding, headache, groggy, Pain, birth control, Back pain, postpartum depression",30.32%
1545,Norfloxacin,"Bladder Infection, Urinary Tract Infection","anger, pain, fatigue",34.97%
1546,Norgesic,"Muscle Pain, Muscle Spasm","pain, spasm, ache",76.55%
1547,Norgesic Forte,"Muscle Pain, Muscle Spasm","headache, ache, shortness of breath",64.08%
1548,Normodyne,High Blood Pressure,"anger, tired",43.20%
1549,Norpace,Arrhythmia,hypertrophic cardiomyopathy,62.29%
1550,Norpace CR,Arrhythmia,"fall, tired",64.16%
1551,Nortriptyline,"Cyclic Vomiting Syndrome, Depression, Diabetic Peripheral Neuropathy, Dysautonomia, Irritable Bowel Syndrome, Migraine Prevention, Neuralgia, Neurosis, Not Listed / Othe, Pain, Panic Disorde, Postherpetic Neuralgia, Primary Nocturnal Enuresis, Reflex Sympathetic Dystrophy Syndrome, Smoking Cessation, Tinnitus, Vulvodynia","anger, fall, tired, vomiting, heartburn, pain management, metaplasia, exhaustion, surgery, nausea and vomiting, gastrointestinal infection, tremor, diarrhea, unhappy, fatigue, Anxiety, weight gain, retch, difficulty, worry, neuropathic pain, redness, increased appetite, hypotension, sleeplessness, endoscopy, constipation, sweat, hunger, drowsiness, numbness, aggression, intensive care, essential tremor, ache, Vomiting, crying, colonoscopy, rale, groggy, Pain, seizure, physiotherapy, migraine with aura, pain, traction, burning sensation, adverse reaction, tinnitus, Depression, x-ray, Headache, aura, Migraine, hangover, nausea, cyclic vomiting syndrome, vertigo, stiffness, Urinary retention, underweight, frustration, withdraw, shooting pain, tooth extraction, lethargy, sleepy, sinus pain, acupuncture, bed rest, myalgia, blood test, panic, elation, Epilepsy, screaming, stress, Serotonin syndrome, massage, nightmare, dizziness, sedentary, Constipation, palpitation, Scar, spasm, night sweat, flare, headache, hostility, birth control, opiates",55.22%
1552,Novantrone,Multiple Sclerosis,,73.50%
1553,Novolin N,"Diabetes, Type 2",adverse reaction,70.00%
1554,Nubain,Pain,"rebound effect, withdraw, anger, headache, nausea, elation, traction, pain, dizziness, Headache, ache, surgery",56.24%
1555,Nucynta,Pain,"nerve block, dependence, sleepy, seizure, adverse effect, breakthrough pain, anger, fall, tired, vomiting, pain management, constipation, sweat, agitation, drool, myalgia, surgery, adhesion, drowsiness, scar tissue, sciatica, panic, elation, pain, paresis, nausea and vomiting, stress, Headache, ache, spina bifida, Migraine, Vomiting, yawning, hangover, diarrhea, nausea, wound, Anxiety, nightmare, fatigue, cough, difficulty, dizziness, sedentary, flushing, palpitation, spasm, night sweat, withdraw, flare, headache, shortness of breath, groggy, ruptured ectopic pregnancy, Pain, lethargy, opiates, amputation, redness",45.58%
1556,Nupercainal,"Burns, External, Hemorrhoids, Local Anesthesia","fall, pain",73.66%
1557,Nutropin,1 Pediatric Growth Hormone Deficiency,pain,41.17%
1558,Nuwiq,Hemophilia A,,56.00%
1559,Nystatin,"Cutaneous Candidiasis, Oral Thrush, Vaginal Yeast Infection","biopsy, cough, nausea, pain",51.49%
1560,Nystatin / triamcinolone,"Cutaneous Candidiasis, Not Listed / Othe","pain, lesion, redness",72.80%
1561,Nystop, Cutaneous Candidiasis,"palpitation, pain",39.68%
1562,Nytol, Insomnia,"headache, hangover, ache, groggy",54.16%
1563,Ocella,"   Acne, Birth Control, Menstrual Disorders, Polycystic Ovary Syndrome, Premenstrual Dysphoric Disorde","menopausal symptoms, anger, fall, tired, Crying, constipation, sweat, gag, suicidal, surgery, numbness, elation, pain, ache, crying, nausea, fatigue, nightmare, weight gain, difficulty, dizziness, swelling, moody, night sweat, flare, headache, birth control, Nausea, redness",47.32%
1564,Octagam,Primary Immunodeficiency Syndrome,"headache, ache",52.44%
1565,Octreotide,"Carcinoid Tum, Diabetes, Type 1, Diarrhea, Small Bowel or Pancreatic Fistula","fever, diarrhea, nausea, fatigue, surgery, hysterectomy",59.17%
1566,Ocular lubricant,"Dry Eye Disease, Eye Redness","pain, surgery",49.28%
1567,Odefsey,HIV Infection,tired,74.02%
1568,Ofloxacin,"Corneal Ulce, Otitis Media, Traveler's Diarrhea, Urinary Tract Infection",pain,41.50%
1569,Ogen,Postmenopausal Symptoms,hysterectomy,69.51%
1570,Olanzapine,"Agitation, Asperger Syndrome, Bipolar Disorde, Borderline Personality Disorde, Depression, Insomnia, Major Depressive Disorde, Not Listed / Othe, Obsessive Compulsive Disorde, Paranoid Disorde, Schizoaffective Disorde, Schizophrenia, Tourette's Syndrome","mania, food craving, seizure, anger, fall, tired, compulsions, constipation, catatonia, sweat, agitation, hunger, gag, drowsiness, suicidal, numbness, panic, overweight, pain, tremor, stress, autism, Depression, overdose, ache, hangover, delusion, gambling, crying, obsessive thoughts, nausea, bite, fatigue, Anxiety, nightmare, weight gain, difficulty, binge eating, feeling strange, anorexia, worry, boredom, palpitation, night sweat, withdraw, unemployment, headache, mental impairment, lightheadedness, groggy, hypomania, lethargy, increased appetite",49.89%
1571,Oleptro,"Depression, Major Depressive Disorde","palpitation, night sweat, headache, Hangover, vomiting, nightmare, pain, sweat, ache",50.41%
1572,Olmesartan,"High Blood Pressure, Migraine Prevention, Not Listed / Othe","heavy legs, surgery, tired, headache, nausea, wound, weight gain, heartburn, redness, cough, overweight, pain, hacking cough, dizziness, flushing, lethargy, ache, chill, swollen tongue",54.45%
1573,Olodaterol,Not Listed / Othe,,71.12%
1574,Olodaterol / tiotropium,"COPD, COPD, Maintenance","palpitation, out of breath, cough, dizziness, delivery",57.49%
1575,Olopatadine,Seasonal Allergic Conjunctivitis,"flare, headache, pain, swelling, Headache, ache, surgery, redness",42.34%
1576,Omacor,Hypertriglyceridemia,,70.50%
1577,Omalizumab,"Asthma, Maintenance, Urticaria","flare, tired, headache, acupuncture, fatigue, ache, weight gain, gastric bypass, pain, swelling, idiopathic urticaria, surgery",59.35%
1578,Omega-3 polyunsaturated fatty acids,"ADHD, Dietary Supplementation, Hypertriglyceridemia","hyponatremia, fall, alcoholism, overweight, pain, Constipation",51.11%
1579,Omeprazole,"Barrett's Esophagus, Duodenal Ulce, Erosive Esophagitis, GERD, Gastritis/Duodenitis, Helicobacter Pylori Infection, Indigestion, Stomach Ulce","anger, hoarseness, heartburn, endoscopy, aversion, gurgle, constipation, sweat, nervousness, surgery, choke, pain, burning sensation, ache, diarrhea, nausea, fatigue, weight gain, retch, cough, difficulty, dizziness, swelling, Constipation, chill, palpitation, night sweat, withdraw, headache",54.79%
1580,Omeprazole / sodium bicarbonate,GERD,,66.34%
1581,Omnitrope,Adult Human Growth Hormone Deficiency,difficulty,76.61%
1582,OnabotulinumtoxinA,"Cervical Dystonia, Chronic Spasticity, Dystonia, Hyperhidrosis, Migraine, Migraine Prevention, Overactive Bladde, Strabismus, Upper Limb Spasticity, Urinary Incontinence, acial Wrinkles","anger, acupuncture, muscle twitch, bed rest, sweat, bladder disorder, spasmodic dysphonia, emotional distress, surgery, vision blurred, Dystonia, numbness, unwell, Cystitis, pain, tremor, essential tremor, Tremor, stress, drug interaction, aura, bladder suspension, ache, Migraine, bladder spasm, massage, smoker, nausea, nightmare, urge incontinence, difficulty, Discomfort, vertigo, dizziness, swelling, cough, Urinary retention, weepiness, worry, chill, hysterectomy, spasm, flare, dystonia, headache, floppy, Pain, botulism, sneeze",45.06%
1583,Ondansetron,"Gastroenteritis, Nausea/Vomiting, Nausea/Vomiting, Chemotherapy Induced, Nausea/Vomiting, Postoperative, Not Listed / Othe","sleepy, hyperemesis, colorectal cancer, seizure, adverse effect, anger, fall, vomiting, constipation, projectile vomiting, drowsiness, surgery, fever, panic, unwell, pain, paresis, nausea and vomiting, Tremor, stress, ache, hangover, scratch, diarrhea, nausea, bite, Anxiety, dizziness, swelling, worry, chill, spasm, flare, headache, Nausea, dialysis",57.05%
1584,Onexton,Acne,"pain, flare, murder, redness",57.88%
1585,Opana,2 Pain,"breakthrough pain, tired, vomiting, pain management, constipation, sweat, projectile vomiting, myalgia, occipital neuralgia, drowsiness, surgery, Hepatitis, excruciating pain, pain, analgesia, stress, Headache, ache, Arthritis, diarrhea, nausea, terrify, difficulty, worry, withdraw, headache, Pain, opiates",58.74%
1586,Opcicon One-Step,Emergency Contraception,"pain, fatigue, pregnancy test, stress",44.08%
1587,Opium,"Diarrhea, Not Listed / Othe","diarrhea, flare, surgery, tired, ileostomy, fatigue, Mass, pain, Surgery",58.71%
1588,Opium Deodorized,Diarrhea,diarrhea,65.45%
1589,Opsumit,Pulmonary Hypertension,shortness of breath,89.10%
1590,Oracea,"Ocular Rosacea, Rosacea","palpitation, diarrhea, scratch, flare, panic, ache, heartburn, pain, burning sensation, stress, myalgia, redness",62.02%
1591,Orajel,"Aphthous Ulce, Cold Sores",pain,56.00%
1592,Oramorph SR,Pain,"pain, breakthrough pain",60.19%
1593,Orap,Tourette's Syndrome,"Dyskinesia, seizure, spasm, anger, syncope, elation, stress, surgery",53.40%
1594,Oraqix,Anesthesia,"anger, pain, numbness, surgery",75.13%
1595,Orlistat,"Nonalcoholic Fatty Liver Disease, Not Listed / Othe, Obesity","seizure, flatulence, constipation, immobile, surgery, Diarrhoea, fever, overweight, pain, stress, Depression, aura, ache, Vomiting, diarrhea, weight gain, gastric bypass, binge eating, worry, chill, boredom",53.93%
1596,Ornex,1 Sinus Symptoms,"headache, ache",72.81%
1597,Orphenadrine,"Migraine, Muscle Spasm","sleepy, palpitation, spasm, withdraw, surgery, sciatica, headache, fatigue, ache, pain, myalgia, stress, Headache, drowsiness, worry, Migraine",50.07%
1598,Orsythia," Abnormal Uterine Bleeding, Birth Control, Ovarian Cysts","food craving, sleepy, adverse effect, anger, fall, tired, vomiting, heartburn, sweat, agitation, hunger, anxiety disorder, suicidal, panic, elation, screaming, pain, stress, Headache, ache, unhappy, crying, nausea, fatigue, weight gain, dizziness, moody, flare, headache, shortness of breath, birth control",38.09%
1599,Ortho Micronor,"1 Abnormal Uterine Bleeding, Birth Control","anger, tired, sweat, hunger, numbness, unwell, traction, pain, stress, Headache, aura, ache, heavy legs, nausea, fatigue, weight gain, dizziness, worry, moody, frustration, headache, birth control, Fall, redness",43.83%
1600,Ortho Tri-Cyclen,Acne,"birth control, pain",13.16%
1601,Ortho-Cept,Birth Control,"tired, headache, nausea, birth control, pain, dizziness, ache, moody",50.70%
1602,Orthovisc,1  Osteoarthritis,"chondromalacia, headache, shortness of breath, nausea, fatigue, excruciating pain, chondroma, Pain, retch, overweight, pain, difficulty, swelling, stiffness, x-ray, ache, exhaustion, surgery, redness",49.59%
1603,Orudis KT,Pain,"pain, ache",79.17%
1604,Oseltamivir,"Influenza, Influenza Prophylaxis","fever, diarrhea, headache, nausea, wound, stuffy nose, cough, gag, pain, thicken, prophylaxis, ache, chill",55.80%
1605,Ospemifene,Dyspareunia,"night sweat, headache, weight gain, pain, sweat, ache",56.55%
1606,Osteo Bi-Flex,Osteoarthritis,"pain, flare",65.44%
1607,Otrexup,Rheumatoid Arthritis,"nausea, pain, fatigue",63.41%
1608,Ovace Plus,Seborrheic Dermatitis,,72.10%
1609,Ovidrel,"Hypogonadism, Male",,94.00%
1610,Oxaliplatin,Colorectal Cance,pain,35.00%
1611,Oxaprozin,Osteoarthritis,,53.69%
1612,Oxaydo,Chronic Pain,"headache, nausea, pain, constipation, dizziness, ache, Breast cancer",19.55%
1613,Oxazepam,"Alcohol Withdrawal, Anxiety, Insomnia","sleepy, hangover, seizure, night sweat, withdraw, crying, fall, headache, panic, Anxiety, Tremor, nervousness, pain, sweat, stress, Depression, ache",65.08%
1614,Oxcarbazepine,"Anxiety, Bipolar Disorde, Borderline Personality Disorde, Cyclothymic Disorde, Neuropathic Pain, Not Listed / Othe, Seizures, Trigeminal Neuralgia","mania, sleepy, spondylolisthesis, seizure, anger, fall, tired, affective disorder, dysphoria, Stress, brain damage, agitation, exhaustion, surgery, drowsiness, suicidal, fever, excruciating pain, elation, Epilepsy, screaming, pain, tremor, stress, Headache, ache, Surgery, diarrhea, delusion, crying, nausea, bite, fatigue, nightmare, weight gain, dizziness, worry, frustration, liver function test, feeling suicidal, withdraw, neuropathic pain, headache, lightheadedness, Pain, birth control, groggy, low back pain, hypomania, redness",56.97%
1615,Oxiconazole,Tinea Corporis,,66.87%
1616,Oxtellar XR,Seizures,seizure,85.00%
1617,OxyContin,"   Chronic Pain, Pain","nerve block, sleepy, sleeplessness, breakthrough pain, fall, ileostomy, acupuncture, tired, cancer pain, pain management, constipation, sweat, sciatic nerve injury, gag, Fatigue, myalgia, surgery, drowsiness, suicidal, sciatica, excruciating pain, screaming, pain, paresis, stress, x-ray, drug interaction, ache, Arthritis, drug abuser, wound, theft, fatigue, difficulty, dizziness, oral surgery, Colitis, Radiculopathy, sports injury, worry, Scar, spasm, withdraw, shooting pain, alcoholic, neuropathic pain, headache, Pain, low back pain, bedridden, opiates, redness",63.58%
1618,Oxybutynin,"Dysuria, Hyperhidrosis, Not Listed / Othe, Overactive Bladde, Prostatitis, Urinary Incontinence, Women (oxybutynin)","sleepy, Bladder pain, anger, fall, tired, acupuncture, heartburn, pain management, constipation, sweat, gag, surgery, drowsiness, panic, pain, autism, ache, Cough, bladder spasm, nausea, fatigue, urge incontinence, difficulty, vertigo, cough, dizziness, swelling, worry, Hyperhidrosis, stinging sensation, spasm, withdraw, difficulty passing urine, Dyspepsia, autoimmune disorder, headache, groggy, Pain, dry throat, sneeze, lethargy",50.43%
1619,Oxycodone,"Chronic Pain, Not Listed / Othe, Pain","dependence, chronic fatigue syndrome, seizure, adverse effect, breakthrough pain, anger, fall, tired, acupuncture, vomiting, pain management, constipation, sweat, biopsy, liver transplant, myalgia, surgery, drowsiness, suicidal, Dizziness, numbness, sciatica, panic, excruciating pain, traction, pain, Depression, electric shock, ache, hernia repair, Surgery, Arthritis, crying, nausea, wound, fatigue, lordosis, syringomyelia, lumbar radiculopathy, nightmare, retch, swelling, life support, stiffness, burning mouth syndrome, sports injury, worry, palpitation, withdraw, hip dysplasia, neuropathic pain, headache, tooth extraction, shortness of breath, groggy, Pain, low back pain, bedridden, opiates",62.55%
1620,Oxydose,Pain,"pain, drug abuser",58.10%
1621,Oxyfast,"Chronic Pain, Pain","kyphoscoliosis, pain, myalgia, breakthrough pain",70.60%
1622,Oxymetazoline,Nasal Congestion,"lung infection, stuffy nose, tired",52.82%
1623,Oxymetholone,Anemia,,67.00%
1624,Oxymorphone,Pain,"nerve block, seizure, breakthrough pain, compression fracture, fall, tired, acupuncture, pain management, constipation, suicidal, surgery, sciatica, panic, pain, drug interaction, ache, Arthritis, scratch, nausea, Anxiety, difficulty, fear of falling, moody, withdraw, headache, Pain, opiates, redness",59.49%
