drugName,condition,Side_Effect,effectiveness
Methylprednisolone,"Allergic Rhinitis, Asthma, Asthma, acute, Atopic Dermatitis, Dermatologic Lesion, Gout, Acute, Immunosuppression, Inflammatory Conditions, Neuralgia, Not Listed / Othe, Osteoarthritis, Rheumatoid Arthritis","sleeplessness, anger, sinus pain, fall, acupuncture, tired, out of breath, heartburn, redness, rhinoplasty, pain management, bed rest, sweat, constipation, hunger, myalgia, joint sprain, anxiety disorder, surgery, suicidal, fever, numbness, choke, sciatica, panic, excruciating pain, labored breathing, screaming, traction, pain, adverse reaction, stress, Rhinitis, Headache, ache, massage, stress fracture, Gout, hangover, diarrhea, crying, nausea, bite, wound, fatigue, weight gain, retch, cough, difficulty, Insomnia, dizziness, swelling, stiffness, flushing, worry, chill, moody, palpitation, spasm, flare, headache, shortness of breath, laryngopharyngitis, buttock pain, Pain, lethargy, increased appetite",55.27%
Metoclopramide,"GERD, Gastroparesis, Lactation Augmentation, Migraine, Nausea/Vomiting, Nausea/Vomiting, Chemotherapy Induced, Nausea/Vomiting, Postoperative, Not Listed / Othe","sleepy, hyperemesis, seizure, adverse effect, anger, fall, tired, muscle twitch, visual disturbance, vomiting, heartburn, dysphoria, constipation, sweat, agitation, myalgia, anxiety disorder, surgery, mastectomy, drowsiness, fever, suicidal, panic, retinal migraine, excruciating pain, aggression, pain, burning sensation, paresis, adverse reaction, stress, tremor, nausea and vomiting, ache, Migraine, Vomiting, hangover, Dyskinesia, diarrhea, unable to concentrate, crying, nausea, hyperemesis gravidarum, fatigue, nightmare, terrify, cough, vertigo, dizziness, swelling, chill, Scar, flare, gastric emptying study, headache, groggy, Pain, Nausea, redness",31.37%
Metoprolol,"Angina, Atrial Fibrillation, Benign Essential Trem, Heart Attack, Heart Failure, High Blood Pressure, Left Ventricular Dysfunction, Migraine Prevention, Mitral Valve Prolapse, Not Listed / Othe, Premature Ventricular Depolarizations, Supraventricular Tachycardia","sleepy, chest tightness, cardiac ablation, adverse effect, sinus rhythm, hypotension, anger, fall, tired, hoarseness, ataxia, heartburn, endoscopy, Arrhythmia, sweat, constipation, Fatigue, exhaustion, surgery, drowsiness, stress at work, Tachycardia, Dizziness, aortic valve replacement, numbness, carditis, panic, elation, overweight, traction, Wound, pain, tremor, stress, erectile dysfunction, x-ray, drug interaction, Headache, aura, tinnitus, Migraine, ache, rebound effect, heavy legs, bradycardia, Hypertension, diarrhea, nausea, wound, Anxiety, echocardiogram, nightmare, weight gain, fatigue, difficulty, vertigo, vaginal hysterectomy, dizziness, swelling, cough, dizzy spells, delivery, Supraventricular tachycardia, worry, hysterectomy, heavy feeling, palpitation, spasm, withdraw, Atrial fibrillation, headache, shortness of breath, chest discomfort, lightheadedness, Nausea, redness",46.16%
Metoprolol Tartrate,"Heart Attack, High Blood Pressure","tired, erectile dysfunction",42.16%
Metozolv ODT,Gastroparesis,"pain, paresis",37.96%
Metronidazole,"Amebiasis, Bacterial Infection, Bacterial Vaginitis, Bone infection, Clostridial Infection, Crohn's Disease, Acute, Crohn's Disease, Maintenance, Deep Neck Infection, Dental Abscess, Diverticulitis, Giardiasis, Helicobacter Pylori Infection, Intraabdominal Infection, Not Listed / Othe, Pelvic Inflammatory Disease, Perioral Dermatitis, Pseudomembranous Colitis, Rosacea, STD Prophylaxis, Skin or Soft Tissue Infection, Surgical Prophylaxis, Trichomoniasis","anger, fall, tired, flatulence, vomiting, heartburn, feeling hopeless, Fatigue, exhaustion, surgery, fever, nausea and vomiting, tremor, diarrhea, bite, wound, fatigue, weight gain, terrify, retch, difficulty, dizzy spells, flushing, worry, swollen tongue, alcoholic, lightheadedness, neck stiffness, increased appetite, redness, chest tightness, constipation, sweat, hunger, drowsiness, numbness, unwell, purging, ache, Vomiting, tanning, crying, colonoscopy, swelling, delivery, wisdom teeth removal, Chest pain, groggy, Pain, Infection, out of breath, depressed mood, gag, anxiety disorder, Dizziness, stuffy nose, lesion, Death, overweight, traction, pain, burning sensation, adverse reaction, kidney infection, Depression, drug interaction, overdose, Headache, aura, hangover, nausea, cough, vertigo, Insomnia, stiffness, tooth infection, frustration, withdraw, shooting pain, shortness of breath, tooth extraction, colectomy, Nausea, pustule, welt, extreme exhaustion, lethargy, milky, sleepy, abdominal infection, agitation, myalgia, blood test, choke, panic, elation, pregnancy test, stress, pelvic discomfort, scratch, Ileitis, nightmare, dizziness, malaise, room spinning, chill, hysterectomy, moody, palpitation, spasm, night sweat, flare, headache, birth control, dry throat, low back pain",46.62%
Miacalcin,Osteoporosis,pain,0.25%
Miconazole,"Tinea Cruris, Tinea Pedis, Vaginal Yeast Infection","Infection, anger, fall, tired, moan, sweat, staring, exhaustion, surgery, Dizziness, panic, excruciating pain, elation, hoard, Death, screaming, traction, Cystitis, snore, adverse reaction, stress, snoring, lung infection, radical hysterectomy, pain, burning sensation, ache, scratch, crying, bite, wound, murder, electrocution, nightmare, swelling, flushing, general discomfort, delivery, trance, worry, hysterectomy, tooth infection, spasm, open wound, shooting pain, headache, shortness of breath, Pain, birth control, redness",18.86%
Microgestin Fe 1 / 20," 1  2     Abnormal Uterine Bleeding, Acne, Birth Control, Endometriosis, Menstrual Disorders, Polycystic Ovary Syndrome","food craving, sleepy, adverse effect, anger, fall, tired, Crying, Stress, sweat, hunger, no adverse effect, exhaustion, drowsiness, suicidal, numbness, panic, elation, pregnancy test, pain, adverse reaction, stress, ache, diarrhea, unhappy, crying, nausea, fatigue, nightmare, weight gain, retch, dizziness, swelling, Mood swings, worry, hysterectomy, moody, night sweat, flare, spider vein, headache, shortness of breath, cyst rupture, birth control, bedridden, lethargy, increased appetite",46.78%
Midazolam,"ICU Agitation, Light Anesthesia, Light Sedation","wisdom teeth removal, sleepy, tinnitus, crying, bone graft, alcoholic, vomiting, anxiety disorder, nightmare, terrify, colonoscopy, pain management, pain, vertigo, oral surgery, stress, agitation, surgery",40.20%
Midodrine,"Dysautonomia, Hypotension, Postural Orthostatic Tachycardia Syndrome","Tachycardia, bradycardia, postural orthostatic tachycardia syndrome, seizure, hypotension, syncope, fall, Bradycardia, activation syndrome, pain, Rash, dizziness, flushing, exhaustion, worry, chill",48.43%
Midol Extended Relief,Period Pain,pain,75.00%
Migranal,"Cluster Headaches, Migraine","anger, headache, nausea, stuffy nose, vomiting, pain, burning sensation, Disability, ache",51.64%
Milk thistle,"Herbal Supplementation, Not Listed / Othe","alcoholic, blood test",60.61%
Milnacipran,ibromyalgia,"nausea, pain, fatigue, weight gain",66.14%
Minastrin 24 Fe, Birth Control,"sleepy, irritable mood, adverse effect, sleeplessness, anger, fall, tired, vomiting, constipation, sweat, drowsiness, suicidal, withdrawal bleed, panic, elation, pregnancy test, overweight, traction, pain, burning sensation, adverse reaction, stress, Headache, aura, ache, unhappy, smoker, crying, nausea, fatigue, nightmare, weight gain, dizziness, delivery, worry, moody, palpitation, withdraw, headache, birth control",35.41%
Minivelle,Postmenopausal Symptoms,"palpitation, hot flush, night sweat, headache, pain, sweat, ache, hysterectomy",54.09%
Minocycline,"Acne, Bacterial Infection, Not Listed / Othe, Periodontitis, Rheumatoid Arthritis, Rosacea, Skin and Structure Infection, Skin or Soft Tissue Infection","sleepy, anger, fall, tired, scab, vomiting, constipation, Rash, nervousness, gag, exhaustion, surgery, drowsiness, fever, tunnel vision, autoimmune hepatitis, panic, lesion, traction, purging, pain, thicken, stress, tinnitus, ache, Arthritis, Vomiting, scratch, diarrhea, unhappy, tanning, nausea, bite, fatigue, syringomyelia, cough, vertigo, dizziness, swelling, flushing, worry, chill, Scar, flare, daydreaming, headache, lumbar puncture, birth control, Nausea, pustule, welt, redness",45.41%
Minoxidil,"Alopecia, High Blood Pressure, Not Listed / Othe","massage, cold sweat, fall, headache, nausea, vomiting, pain, thicken, sweat, nausea and vomiting, erectile dysfunction, drug interaction, ache, drowsiness",46.46%
Mirabegron,"Overactive Bladde, Urinary Incontinence","palpitation, spasm, flare, anger, pain, constipation, kidney infection, opiates, x-ray, labour pain",36.28%
Mircette,"Birth Control, Polycystic Ovary Syndrome","birth control, headache, ache, weight gain",56.55%
Mirena,"  Abnormal Uterine Bleeding, Birth Control","laparoscopy, chest tightness, anger, fall, tired, Crying, acupuncture, vomiting, moan, constipation, sweat, hunger, biopsy, erythema, anxiety disorder, surgery, hysteroscopy, blood test, numbness, mammogram, side pain, Abdominal pain, transfusion, sciatica, panic, excruciating pain, elation, pregnancy test, screaming, traction, pain, thicken, kidney infection, stress, vasectomy, laparoscopic surgery, Breast pain, tubal ligation, aura, ache, rectal spasm, hot flush, crying, nausea, wound, Anxiety, nightmare, weight gain, fatigue, cough, difficulty, retch, dizziness, swelling, general discomfort, delivery, rale, worry, hysterectomy, moody, palpitation, frustration, spasm, abortion, shooting pain, moaning, flare, headache, cyst rupture, Pain, birth control, Fall, Nausea, low back pain, increased appetite",40.74%
Mirtazapine,"Anxiety, Depression, Insomnia, Major Depressive Disorde, Not Listed / Othe, Obsessive Compulsive Disorde, Post Traumatic Stress Disorde","anger, fall, tired, flatulence, feeling hopeless, exhaustion, surgery, laziness, Major depression, amphetamines, diarrhea, unhappy, unable to concentrate, obsessive thoughts, fatigue, Anxiety, weight gain, terrify, difficulty, trance, worry, cold sweat, alcoholic, lightheadedness, redness, increased appetite, dependence, chronic fatigue syndrome, constipation, sweat, hunger, drowsiness, suicidal, numbness, unwell, general symptom, ache, crying, dullness, swelling, rale, feeling suicidal, sleep paralysis, groggy, seizure, Increased appetite, Stress, depressive symptom, anxiety disorder, stuffy nose, lesion, Death, overweight, pain, burning sensation, adverse reaction, autism, Depression, overdose, electric shock, hangover, hypersomnia, nausea, anhedonia, vertigo, Insomnia, weight control, underweight, withdraw, shortness of breath, lethargy, sleepy, agitation, myalgia, Abdominal pain, panic, elation, screaming, stress, Hangover, paralyse, nightmare, dizziness, anorexia, psychiatric symptom, homeless, chill, moody, palpitation, spasm, night sweat, abortion, headache, emergency care",51.95%
Misoprostol,"Abortion, Labor Induction, Not Listed / Othe","cold sweat, abortion, headache, nausea, traction, pain, dizziness, sweat, ache",60.30%
Mobic,"1 5  9 9 Inflammatory Conditions, Osteoarthritis, Rheumatoid Arthritis, Tendonitis, ibromyalgia","fall, tired, heartburn, constipation, Sciatica, myalgia, surgery, Dizziness, numbness, sciatica, excruciating pain, pain, electric shock, ache, Arthritis, nausea, fatigue, difficulty, swelling, stiffness, worry, spasm, flare, neuropathic pain, headache, shortness of breath, groggy, Pain",55.53%
Modafinil,"ADHD, Chronic Fatigue Syndrome, Depression, Hypersomnia, Multiple Sclerosis, Narcolepsy, Obstructive Sleep Apnea/Hypopnea Syndrome, Shift Work Sleep Disorde, atigue","mania, sleepy, chronic fatigue syndrome, asymptomatic, anger, fall, tired, vomiting, hunger, depressive symptom, nervousness, Fatigue, myalgia, exhaustion, surgery, drowsiness, suicidal, delayed sleep phase, blood test, Injury, panic, aggression, pain, tremor, stress, snoring, Depression, off label use, ache, amphetamines, yawning, diarrhea, hypersomnia, crying, nausea, fatigue, Anxiety, nightmare, weight gain, muscle mass, difficulty, dizziness, negative thoughts, trance, worry, withdraw, sleep paralysis, headache, shortness of breath, Pain, birth control, hypomania, lethargy, sleep attacks, redness",58.32%
Mometasone,"Allergic Rhinitis, Asthma, Maintenance, Atopic Dermatitis, Dermatitis, Eczema, Nasal Polyps, Not Listed / Othe, Psoriasis, Sinus Symptoms","fall, tired, Psoriasis, pruritus, surgery, fever, stuffy nose, Dermatitis, pain, snoring, Headache, stress, Rhinitis, ache, chapped lips, scratch, crying, wound, cough, difficulty, dizziness, swelling, withdraw, flare, headache, bedridden, sneeze, lethargy, redness",58.04%
Monistat 7-Day Combination Pack,Vaginal Yeast Infection,"scratch, anger, crying, fall, bite, excruciating pain, Pain, vaginal swelling, screaming, pain, burning sensation, swelling, redness",24.65%
Monodox,"Acne, Rosacea","flare, fall, headache, acupuncture, nausea, redness, birth control, Shock, dizziness, stress, ache, worry, hysterectomy",56.97%
Mononessa,"1 Abnormal Uterine Bleeding, Birth Control, Endometriosis, Ovarian Cysts","sleepy, chest tightness, tired, vomiting, sweat, hunger, biopsy, anxiety disorder, surgery, drowsiness, blood test, panic, elation, overweight, pain, stress, Depression, ache, Migraine, diarrhea, tanning, crying, nausea, fatigue, nightmare, weight gain, difficulty, dizziness, swelling, Mood swings, worry, chill, underweight, moody, palpitation, headache, Cold sweat, birth control, Fall, Nausea, amputation, redness",45.00%
Montelukast,"Allergic Rhinitis, Asthma, Asthma, Maintenance, COPD","sleepy, sleeplessness, anger, fall, tired, Crying, out of breath, vomiting, heartburn, allergy test, sweat, agitation, productive cough, suicidal, wheezing, fever, Autism, numbness, stuffy nose, panic, Asthma, snore, pain, tremor, stress, snoring, autism, heavy feeling, ache, yawning, diarrhea, crying, nausea, bite, fatigue, murder, nightmare, terrify, cough, difficulty, Dry eye, dizziness, worry, chill, swollen tongue, moody, night sweat, flare, headache, clumsiness, sneeze, red blotches, redness",30.75%
Monurol,Bladder Infection,pain,51.35%
Morphine,"Chronic Pain, Not Listed / Othe, Pain","sleepy, seizure, breakthrough pain, compression fracture, fall, ileostomy, acupuncture, tired, vomiting, pain management, constipation, Sciatica, spinal cord infarction, Fatigue, thoracic outlet syndrome, surgery, adhesion, drowsiness, myalgia, numbness, sciatica, bone graft, excruciating pain, elation, pain, adverse reaction, overdose, hip surgery, paresthesia, ache, Migraine, massage, Arthritis, delusion, nausea, weight gain, syringomyelia, terrify, cough, difficulty, dizziness, pain back, Constipation, Radiculopathy, sports injury, worry, hysterectomy, spasm, withdraw, flare, alcoholic, headache, colectomy, Pain, groggy, low back pain, opiates, abdominal adhesions",57.37%
Morphine / naltrexone,Chronic Pain,"pain, withdraw, ache, feeling strange",43.06%
Motrin,"Back Pain, Gout, Acute, Headache, Osteoarthritis, Pain, Period Pain, Rheumatoid Arthritis","headache, pain, ache, stress",70.85%
Motrin IB,"Back Pain, Pain, Period Pain","headache, ache, swelling",75.98%
Moxifloxacin,"Bacterial Infection, Conjunctivitis, Bacterial, Ophthalmic Surgery, Pneumonia, Sinusitis","fever, scratch, nausea, wound, blood count, Pain, cough, difficulty, pain, constipation, surgery, redness",45.91%
Mucinex DM,"Cough, Expectoration","cough, fall, pain",40.90%
Mucomyst,Expectoration,"headache, ache, bronchoscopy",40.24%
Multivitamin,Dietary Supplementation,"diarrhea, numbness, fall, headache, nausea, fatigue, ache, vomiting, weight gain, bedridden, pain, sweat, vascular insufficiency, stress, tinnitus, myalgia, surgery, hysterectomy",43.35%
Multivitamin with iron,"Anemia, Not Listed / Othe, Vitamin/Mineral Supplementation and Deficiency","blood test, night sweat, nausea, fatigue, vomiting, nightmare, pain, constipation, sweat, surgery",64.58%
